Vcmax,4
age,343
c2n_leaf,31
SLA,15
leaf_respiration_rate_m2,7
cuticular_cond,38
extinction_coefficient_diffuse,492
chi_leaf,568
chlorophyll_a,619
chlorophyll_b,620
stomatal_slope.BB,404
starch_content,621
protein_content,622
carotenoids,442
height,52
NDVI,604
air_temperature,573
growth_respiration_coefficient,493
sv_area,6000000001
tv_area,6000000002
canopy_height,6000000007
perimeter,6000000006
solidity,6000000004
aboveground_dry_biomass,6000000196
leaf_node_count,6000000015
tiller_count,6000000016
emergence_score,6000000052
DWSI1,6000000181
panicle_height,6000000017
lodging_angle,6000000054
lodging_type,6000000055
hull_area,6000000003
95th_quantile_height,6000000013
aboveground_biomass_moisture,6000000195
ndf,6000000010
crude_protein,6000000256
spike_height,6000000008
ND900_680,6000000020
SR900_680,6000000021
seedling_vigor,6000000056
DWSI2,6000000182
TCARI,6000000026
DWSI3,6000000183
DWSI4,6000000184
DWSI5,6000000185
stalk_diameter_major_axis,6000000261
stalk_diameter_fixed_height,6000000263
tiller_density,6000000268
incidence_stems_with_leaf_desiccation,6000000233
leaf_desiccation_present,6000000270
lodging_present,6000000271
flavonol_index,6000000281
NBI_nitrogen_balance_index,6000000283
sensor_emitter_temperature,6000000279
leaf_length,6000000049
leaf_width,6000000048
plant_height,6000000005
leaf_position,6000000050
stem_diameter,6000000197
plant_basal_tiller_number,6000000200
flag_leaf_position,6000000201
stem_elongated_internodes_number,6000000199
incident_PAR,6000000202
ground_level_PAR,6000000203
aboveground_dry_biomass_handharvest,6000000208
harvest_plant_count,6000000212
aboveground_fresh_biomass_handharvest,6000000209
sum_of_gaps_greater50cm,6000000213
bird_damage,6000000205
aboveground_biomass_moisture_handharvest,6000000207
emergence_count,6000000014
green_rating,6000000206
fresh_weight_stems,6000000219
aboveground_fresh_weight_5plant_destructive_sample,6000000218
aboveground_fresh_weight_1meter_destructive_sample,6000000217
fresh_weight_leaves,6000000220
sum_of_gaps_greater20cm,6000000214
sum_of_gaps,6000000211
Minutes_after_first_Incident_PAR,6000000204
canopy_temperature,6000000018
biomass_dry_leaves,6000000223
biomass_dry_stems,6000000222
leaf_stem_weight_ratio,6000000269
image_id,6000000273
sensor_calibration,6000000274
leaf_sensor_RH,6000000275
surface_temperature_leaf,6000000272
number_tillers_destructive_sample,6000000225
number_plants_destructive_sample,6000000215
dry_matter_fraction,6000000224
seedling_emergence_rate,6000000251
stalk_diameter_minor_axis,6000000262
leaf_area_index,6000000221
harvest_lodging_rating,6000000277
leaf_stomatal_conductance,6000000229
filter_sensor_RH,6000000276
anthocyanin_index,6000000282
SR700_670,6000000043
SR750_710,6000000044
RDVI,6000000042
dry_weight_stems,6000000227
PRI531,6000000031
measurement_height,6000000264
flag_leaf_emergence_time,6000000236
EVI,6000000125
ARVI,6000000126
heading_time,6000000237
REIP1,6000000045
TVI,6000000047
OSAVI,6000000022
flowering_time,6000000238
GEMI,6000000127
GARI,6000000128
DVI,6000000129
GDVI,6000000130
GNDVI,6000000131
GRVI,6000000132
grain_stage_time,6000000278
leaf_desiccation_severity_minimum,6000000234
dry_weight_leaves,6000000228
leaf_desiccation_severity_maximum,6000000235
absorbance_650,6000000295
ambient_air_temperature,6000000230
MSR705_445,6000000025
WI,6000000023
Chl index,6000000024
CarChap,6000000028
Car1Black,6000000029
Car2Black,6000000030
NDVI705,6000000036
AntGamon,6000000033
ChlDela,6000000035
PRI586,6000000037
PRI512,6000000038
FRI2,6000000040
NDVI1,6000000041
FRI1,6000000039
NDRE,6000000046
plant_density,6000000266
TCARI_OSAVI,6000000027
grain_milk_stage_time,6000000239
grain_soft_dough_stage_time,6000000240
grain_hard_dough_stage_time,6000000241
internode_position,6000000265
