id,site_id,sitename,specie_id,cultivar_id,treatment_id,date,mean,variable_id
6001957412,6000005339,MAC Field Scanner Season 4 Range 3 Column 2,2588,6000000569,6000000024,6/5/17 5:00,0,6000000270
6001957413,6000005342,MAC Field Scanner Season 4 Range 3 Column 3,2588,6000000744,6000000024,6/5/17 5:00,0,6000000270
6001957414,6000005345,MAC Field Scanner Season 4 Range 3 Column 4,2588,6000000462,6000000024,6/5/17 5:00,0,6000000270
6001957415,6000005348,MAC Field Scanner Season 4 Range 3 Column 5,2588,6000000827,6000000024,6/5/17 5:00,0,6000000270
6001957416,6000005351,MAC Field Scanner Season 4 Range 3 Column 6,2588,6000000818,6000000024,6/5/17 5:00,0,6000000270
6001957417,6000005354,MAC Field Scanner Season 4 Range 3 Column 7,2588,6000000930,6000000024,6/5/17 5:00,0,6000000270
6001957418,6000005357,MAC Field Scanner Season 4 Range 3 Column 8,2588,6000000210,6000000024,6/5/17 5:00,0,6000000270
6001957419,6000005360,MAC Field Scanner Season 4 Range 3 Column 9,2588,6000000893,6000000024,6/5/17 5:00,0,6000000270
6001957420,6000005363,MAC Field Scanner Season 4 Range 3 Column 10,2588,6000000912,6000000024,6/5/17 5:00,0,6000000270
6001957421,6000005366,MAC Field Scanner Season 4 Range 3 Column 11,2588,6000000969,6000000024,6/5/17 5:00,0,6000000270
6001957422,6000005369,MAC Field Scanner Season 4 Range 3 Column 12,2588,6000000685,6000000024,6/5/17 5:00,0,6000000270
6001957423,6000005372,MAC Field Scanner Season 4 Range 3 Column 13,2588,6000000924,6000000024,6/5/17 5:00,0,6000000270
6001957424,6000005375,MAC Field Scanner Season 4 Range 3 Column 14,2588,6000000830,6000000024,6/5/17 5:00,0,6000000270
6001957425,6000005378,MAC Field Scanner Season 4 Range 3 Column 15,2588,6000000717,6000000024,6/5/17 5:00,0,6000000270
6001957426,6000005419,MAC Field Scanner Season 4 Range 4 Column 2,2588,6000000572,6000000024,6/5/17 5:00,0,6000000270
6001957427,6000005416,MAC Field Scanner Season 4 Range 4 Column 3,2588,6000001012,6000000024,6/5/17 5:00,0,6000000270
6001957428,6000005413,MAC Field Scanner Season 4 Range 4 Column 4,2588,6000000817,6000000024,6/5/17 5:00,0,6000000270
6001957429,6000005410,MAC Field Scanner Season 4 Range 4 Column 5,2588,6000000936,6000000024,6/5/17 5:00,0,6000000270
6001957430,6000005407,MAC Field Scanner Season 4 Range 4 Column 6,2588,6000000552,6000000024,6/5/17 5:00,0,6000000270
6001957431,6000005404,MAC Field Scanner Season 4 Range 4 Column 7,2588,6000000710,6000000024,6/5/17 5:00,0,6000000270
6001957432,6000005401,MAC Field Scanner Season 4 Range 4 Column 8,2588,6000000911,6000000024,6/5/17 5:00,0,6000000270
6001957433,6000005398,MAC Field Scanner Season 4 Range 4 Column 9,2588,6000000980,6000000024,6/5/17 5:00,0,6000000270
6001957434,6000005246,MAC Field Scanner Season 4 Range 4 Column 10,2588,6000000990,6000000024,6/5/17 5:00,0,6000000270
6001957435,6000005395,MAC Field Scanner Season 4 Range 4 Column 11,2588,6000000904,6000000024,6/5/17 5:00,0,6000000270
6001957436,6000005392,MAC Field Scanner Season 4 Range 4 Column 12,2588,6000000938,6000000024,6/5/17 5:00,0,6000000270
6001957437,6000005389,MAC Field Scanner Season 4 Range 4 Column 13,2588,6000000928,6000000024,6/5/17 5:00,0,6000000270
6001957438,6000005386,MAC Field Scanner Season 4 Range 4 Column 14,2588,6000000221,6000000024,6/5/17 5:00,0,6000000270
6001957439,6000005383,MAC Field Scanner Season 4 Range 4 Column 15,2588,6000001056,6000000024,6/5/17 5:00,0,6000000270
6001957440,6000005424,MAC Field Scanner Season 4 Range 5 Column 2,2588,6000000929,6000000024,6/5/17 5:00,0,6000000270
6001957441,6000005427,MAC Field Scanner Season 4 Range 5 Column 3,2588,6000000742,6000000024,6/5/17 5:00,0,6000000270
6001957442,6000005430,MAC Field Scanner Season 4 Range 5 Column 4,2588,6000000859,6000000024,6/5/17 5:00,0,6000000270
6001957443,6000005433,MAC Field Scanner Season 4 Range 5 Column 5,2588,6000000702,6000000024,6/5/17 5:00,0,6000000270
6001957444,6000005436,MAC Field Scanner Season 4 Range 5 Column 6,2588,6000000953,6000000024,6/5/17 5:00,0,6000000270
6001957445,6000005439,MAC Field Scanner Season 4 Range 5 Column 7,2588,6000000557,6000000024,6/5/17 5:00,0,6000000270
6001957446,6000005442,MAC Field Scanner Season 4 Range 5 Column 8,2588,6000000471,6000000024,6/5/17 5:00,0,6000000270
6001957447,6000005247,MAC Field Scanner Season 4 Range 5 Column 9,2588,6000000816,6000000024,6/5/17 5:00,0,6000000270
6001957448,6000005445,MAC Field Scanner Season 4 Range 5 Column 10,2588,6000000554,6000000024,6/5/17 5:00,0,6000000270
6001957449,6000005448,MAC Field Scanner Season 4 Range 5 Column 11,2588,6000000833,6000000024,6/5/17 5:00,0,6000000270
6001957450,6000005451,MAC Field Scanner Season 4 Range 5 Column 12,2588,6000000902,6000000024,6/5/17 5:00,0,6000000270
6001957451,6000005454,MAC Field Scanner Season 4 Range 5 Column 13,2588,6000000894,6000000024,6/5/17 5:00,0,6000000270
6001957452,6000005457,MAC Field Scanner Season 4 Range 5 Column 14,2588,6000001020,6000000024,6/5/17 5:00,0,6000000270
6001957453,6000005460,MAC Field Scanner Season 4 Range 5 Column 15,2588,6000000694,6000000024,6/5/17 5:00,0,6000000270
6001957454,6000005498,MAC Field Scanner Season 4 Range 6 Column 2,2588,6000000950,6000000024,6/5/17 5:00,0,6000000270
6001957455,6000005495,MAC Field Scanner Season 4 Range 6 Column 3,2588,6000000922,6000000024,6/5/17 5:00,0,6000000270
6001957456,6000005492,MAC Field Scanner Season 4 Range 6 Column 4,2588,6000000555,6000000024,6/5/17 5:00,0,6000000270
6001957457,6000005249,MAC Field Scanner Season 4 Range 6 Column 5,2588,6000000566,6000000024,6/5/17 5:00,0,6000000270
6001957458,6000005489,MAC Field Scanner Season 4 Range 6 Column 6,2588,6000000913,6000000024,6/5/17 5:00,0,6000000270
